id,qnumber,ai_score_default,ai_score_calibrated,ai_score_proportional,grade1,grade2
1568,19,0.0,91.68,94.77,D,D
433,5,25.0,87.5,86.53,B,B
1563,19,0.0,66.67,74.23,E,E
507,6,0.0,0.0,0.0,Fx,Fx
1671,21,0.0,49.99,64.84,E,E
743,8,0.0,50.0,52.85,E,E
973,10,12.5,62.5,62.22,E,E
1342,15,0.0,0.0,0.0,E,E
600,7,0.0,50.0,50.0,Fx,Fx
1104,11,0.0,16.66,17.07,E,D
865,9,0.0,30.0,34.12,Fx,Fx
435,5,12.5,62.5,68.86,C,C
468,5,12.5,87.5,93.73,A,A
138,2,0.0,0.0,0.0,E,E
995,10,12.5,62.5,66.79,E,E
209,3,25.0,100.0,100.0,B,A
810,9,10.0,80.0,76.11,E,E
1247,13,0.0,30.0,30.04,D,D
676,7,25.0,50.0,50.0,B,C
1547,19,0.0,75.0,86.53,Fx,Fx
145,2,0.0,50.0,55.74,B,A
741,8,0.0,50.0,49.64,D,D
96,2,0.0,25.0,18.51,D,D
118,2,0.0,0.0,0.0,D,D
1838,24,0.0,33.32,35.9,B,B
1881,24,0.0,66.66,73.94,C,C
451,5,0.0,100.0,100.0,B,B
497,6,16.67,66.66,66.66,E,E
956,10,12.5,62.5,64.54,E,E
1698,21,0.0,75.0,73.33,B,B
234,3,0.0,50.0,38.83,E,E
1449,17,0.0,41.66,40.38,D,B
1086,11,0.0,16.67,16.67,B,B
928,10,12.5,62.5,69.42,E,E
735,8,20.0,70.0,71.37,B,B
939,10,12.5,62.5,64.54,E,E
727,8,0.0,60.0,69.79,D,D
1242,13,0.0,40.0,39.18,D,D
747,8,0.0,20.0,19.12,D,D
1285,14,0.0,16.67,16.67,E,D
1399,16,0.0,83.33,85.37,A,A
39,1,0.0,75.0,77.64,C,C
1226,13,0.0,40.0,40.04,Fx,Fx
365,4,0.0,50.0,50.0,D,C
1354,15,0.0,50.0,52.85,D,C
1197,12,0.0,0.0,0.0,B,D
1206,12,0.0,50.0,47.26,Fx,Fx
476,5,25.0,100.0,100.0,A,A
1764,22,0.0,8.33,6.25,E,Fx
1098,11,0.0,0.0,0.0,Fx,Fx
206,3,0.0,50.0,38.83,E,E
135,2,0.0,37.5,32.66,E,E
1498,18,8.33,75.01,72.02,C,C
1473,17,0.0,41.66,43.68,E,E
1010,11,0.0,16.66,19.12,Fx,Fx
994,10,12.5,62.5,67.89,E,E
765,8,0.0,40.0,40.0,D,D
334,4,0.0,50.0,50.0,E,E
1703,21,0.0,49.99,48.75,D,C
43,1,0.0,50.0,50.0,C,C
821,9,20.0,80.0,76.39,E,D
1385,16,0.0,50.0,52.4,E,E
646,7,12.5,50.0,50.0,E,E
1182,12,0.0,25.0,31.73,B,B
438,5,12.5,100.0,100.0,D,D
859,9,0.0,90.0,87.85,B,B
285,4,0.0,25.0,19.29,E,E
255,3,25.0,100.0,100.0,A,A
466,5,12.5,87.5,94.38,A,A
1396,16,0.0,83.33,88.01,C,C
493,6,16.67,83.33,85.61,D,C
563,6,16.67,83.33,78.18,C,C
725,8,10.0,70.0,69.8,A,A
1751,22,0.0,8.33,5.01,D,D
924,10,12.5,62.5,63.19,E,E
1375,16,33.33,83.33,87.58,B,B
1546,19,0.0,75.0,82.97,E,E
1437,17,8.33,50.0,50.73,D,D
958,10,12.5,62.5,67.89,E,E
198,3,25.0,100.0,100.0,A,A
247,3,0.0,50.0,38.83,E,E
93,1,0.0,0.0,0.0,D,D
1466,17,0.0,24.99,27.49,E,E
1470,17,0.0,33.33,31.17,E,E
440,5,12.5,100.0,100.0,B,B
1794,23,0.0,16.66,10.5,E,E
1460,17,0.0,33.32,37.69,E,E
1309,14,0.0,8.33,11.14,E,E
338,4,0.0,25.0,21.69,Fx,Fx
781,8,10.0,50.0,52.48,E,E
1180,12,0.0,0.0,0.0,Fx,Fx
142,2,0.0,0.0,0.0,C,C
1557,19,0.0,100.02,100.02,E,E
1708,21,0.0,41.65,35.71,Fx,Fx
611,7,12.5,100.0,100.0,B,B
601,7,0.0,25.0,28.01,D,E
1436,17,8.33,33.33,32.29,E,E
51,1,0.0,0.0,0.0,E,Fx
505,6,0.0,50.0,61.47,C,C
1130,12,0.0,0.0,0.0,D,D
1134,12,0.0,50.0,46.97,B,B
1169,12,12.5,50.0,50.0,A,A
130,2,0.0,0.0,0.0,E,E
1760,22,0.0,8.33,5.89,C,C
146,2,0.0,25.0,25.0,E,E
1280,14,8.33,50.0,56.07,E,E
283,3,0.0,50.0,38.83,E,E
1310,14,0.0,58.33,65.15,B,B
460,5,12.5,75.0,76.85,E,E
313,4,0.0,0.0,0.0,B,C
1650,20,0.0,75.01,78.58,A,A
1330,15,16.67,33.33,33.33,D,D
841,9,10.0,40.0,48.62,D,D
1232,13,0.0,60.0,57.39,C,B
1870,24,0.0,33.32,27.74,C,C
644,7,0.0,50.0,50.0,Fx,Fx
929,10,12.5,62.5,64.54,E,E
1,1,0.0,75.0,85.48,A,B
429,5,0.0,75.0,75.0,E,E
1723,22,0.0,0.0,0.0,C,C
1574,19,0.0,58.33,66.96,E,E
1409,16,16.67,66.66,66.66,A,A
1195,12,0.0,12.5,13.08,D,D
6,1,0.0,75.0,77.58,C,B
1316,15,0.0,50.0,55.13,Fx,Fx
1103,11,0.0,16.66,19.38,E,E
692,7,12.5,50.0,50.0,B,B
1657,20,0.0,66.67,64.26,B,B
1287,14,0.0,0.0,0.0,Fx,Fx
1780,23,0.0,24.99,21.66,D,D
114,2,0.0,37.5,37.79,Fx,Fx
1393,16,33.33,33.33,33.33,C,C
270,3,0.0,50.0,38.83,E,E
1161,12,0.0,0.0,0.0,D,D
788,8,0.0,40.0,45.17,D,D
1782,23,0.0,49.99,46.65,B,B
1308,14,0.0,33.33,35.85,C,C
1205,12,0.0,25.0,25.19,B,C
1529,18,8.33,75.01,73.59,E,E
1236,13,0.0,30.0,30.54,E,E
1606,19,0.0,66.67,70.47,Fx,Fx
570,6,0.0,50.0,61.47,C,C
1093,11,0.0,0.0,0.0,Fx,Fx
592,6,16.67,83.33,85.98,Fx,Fx
1508,18,8.33,75.01,72.47,E,E
638,7,0.0,25.0,25.0,D,D
178,2,0.0,25.0,25.96,B,B
217,3,0.0,50.0,38.83,E,E
1039,11,16.67,58.34,59.84,D,D
1774,22,0.0,16.66,12.51,E,E
23,1,0.0,25.0,32.0,B,B
1652,20,0.0,75.01,75.77,B,A
1854,24,0.0,24.99,25.36,C,D
471,5,25.0,100.0,100.0,A,A
1622,20,0.0,0.0,0.0,E,E
1813,23,0.0,0.0,0.0,C,C
1786,23,0.0,8.33,7.67,E,E
469,5,25.0,100.0,100.0,B,B
262,3,0.0,50.0,38.83,E,E
775,8,10.0,60.0,61.58,C,C
323,4,0.0,0.0,0.0,E,E
1872,24,0.0,41.65,58.13,B,A
696,7,0.0,50.0,50.0,Fx,Fx
1125,12,0.0,0.0,0.0,B,B
186,2,0.0,0.0,0.0,Fx,Fx
61,1,0.0,25.0,27.23,Fx,Fx
1221,13,10.0,40.0,40.0,A,A
64,1,0.0,75.0,85.12,C,C
1812,23,0.0,58.33,57.37,B,B
1266,14,0.0,8.33,12.38,E,E
1083,11,0.0,0.0,0.0,Fx,Fx
704,8,0.0,50.0,52.85,E,E
758,8,10.0,50.0,53.63,E,E
546,6,0.0,50.0,49.42,Fx,Fx
1429,17,0.0,33.33,37.91,D,D
1372,16,0.0,66.67,56.75,B,C
663,7,0.0,25.0,36.67,E,E
327,4,0.0,0.0,0.0,D,D
1589,19,0.0,83.34,86.03,Fx,Fx
1349,15,0.0,0.0,0.0,D,D
1327,15,0.0,16.67,21.35,Fx,Fx
1149,12,0.0,0.0,0.0,A,B
490,6,0.0,50.0,61.47,C,C
940,10,12.5,62.5,69.42,E,E
1799,23,0.0,24.99,21.43,C,C
447,5,12.5,100.0,100.0,A,A
1442,17,0.0,8.33,6.6,Fx,Fx
1869,24,0.0,41.65,44.87,D,D
1494,18,8.33,75.0,76.54,Fx,Fx
1220,13,0.0,20.0,24.74,Fx,Fx
1516,18,8.33,83.34,80.97,D,D
65,1,25.0,100.0,100.0,A,A
1099,11,0.0,0.0,0.0,E,E
14,1,0.0,25.0,24.44,Fx,Fx
877,9,10.0,70.0,79.84,A,A
890,9,0.0,50.0,54.34,D,D
817,9,10.0,70.0,72.07,C,C
326,4,0.0,0.0,0.0,E,E
1025,11,8.33,75.0,86.95,A,A
161,2,0.0,0.0,0.0,C,D
1351,15,16.67,66.66,66.66,C,C
1034,11,8.33,58.33,68.71,C,C
1811,23,0.0,16.66,10.22,E,E
1476,17,0.0,33.32,36.89,Fx,Fx
1312,14,0.0,16.67,16.67,Fx,Fx
778,8,10.0,50.0,52.67,E,E
1560,19,0.0,75.0,81.45,D,D
968,10,25.0,87.5,87.62,D,C
193,3,25.0,100.0,100.0,A,A
514,6,0.0,50.0,61.47,C,C
1140,12,0.0,12.5,15.02,A,A
1583,19,0.0,41.65,50.92,D,D
487,6,0.0,50.0,61.47,C,C
1762,22,0.0,24.99,17.32,Fx,Fx
1653,20,0.0,66.67,71.53,C,C
163,2,0.0,37.5,38.86,Fx,Fx
1518,18,16.66,100.02,100.02,B,B
1525,18,8.33,66.68,66.68,C,C
141,2,0.0,25.0,25.0,A,A
